,RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,SALARY
119,129,Nicolas Batum,Lac,G-F,34.5,5,18.3,9.6,9.5,0,0.0,2,1.0,17,0.353,0.579,0.579,4.4,2.2,1.2,0.4,0.4,0.4,6.6,5.6,7.8,5.0,116.9,107.8,19700319
120,130,Georges Niang,Phi,F,30.0,11,14.3,12.1,12.2,0,0.0,10,0.6,26,0.462,0.667,0.667,4.4,0.4,0.2,0.0,0.2,0.5,4.7,4.5,4.9,2.0,110.6,110.7,3465000
121,131,Jalen Johnson,Atl,F,21.5,6,9.3,22.2,17.0,2,1.0,13,0.462,11,0.364,0.5,0.523,4.3,2.5,1.3,0.5,0.0,0.8,6.8,5.7,8.2,10.4,101.8,106.4,2792640
122,132,Jeff Green,Den,F,36.8,20,17.2,10.4,12.6,19,0.895,34,0.559,28,0.321,0.524,0.583,4.1,1.6,0.7,0.3,0.4,0.5,5.7,4.8,6.4,3.9,114.6,106.0,4500000
123,133,Josh Okogie,Pho,G,24.8,10,17.5,11.5,7.4,13,0.846,23,0.522,14,0.143,0.405,0.48,4.1,2.1,1.3,0.6,0.2,0.3,6.2,5.4,7.5,5.1,118.0,109.1,1968175
124,134,Robin Lopez,Cle,C,35.2,2,3.1,37.6,22.5,2,1.0,3,1.0,0,0.0,1.0,1.031,4.0,0.5,0.0,0.0,0.0,0.5,4.5,4.0,4.5,0.0,,,2905851
125,135,David Roddy,Mem,F,22.2,6,12.6,16.8,3.3,1,1.0,9,0.222,20,0.3,0.379,0.391,3.8,2.8,0.7,0.0,0.3,0.2,6.7,4.5,7.3,6.2,94.9,107.8,2588640
126,136,Terrence Ross,Pho,G-F,32.4,6,11.5,17.8,3.6,0,0.0,5,0.4,22,0.273,0.407,0.407,3.7,1.3,0.2,0.2,0.3,0.2,5.0,3.8,5.2,3.4,84.1,110.1,11500000
127,137,Bismack Biyombo,Pho,C,30.8,8,9.8,16.8,27.0,18,0.5,16,0.563,0,0.0,0.563,0.564,3.4,3.4,0.8,0.0,1.3,0.8,6.8,4.1,7.5,8.6,111.1,91.5,2905851
128,138,Jonathan Kuminga,Gol,F,20.7,10,6.1,21.5,14.2,9,0.556,17,0.588,7,0.429,0.604,0.608,3.4,0.9,0.5,0.2,0.0,0.4,4.3,3.9,4.8,7.6,114.6,111.3,5739840
129,139,JaMychal Green,Gol,F-C,33.0,7,7.0,21.1,8.0,0,0.0,5,0.8,18,0.278,0.5,0.5,3.3,0.7,0.4,0.0,0.1,0.3,4.0,3.7,4.4,5.6,95.9,98.9,8200000
130,140,Haywood Highsmith,Mia,F,26.5,18,8.9,12.1,4.8,5,0.8,23,0.696,16,0.5,0.718,0.728,3.3,1.3,0.3,0.6,0.1,0.1,4.7,3.6,4.9,4.9,146.0,101.6,1752638
131,141,Christian Braun,Den,G,22.2,19,13.0,11.6,18.1,19,0.579,35,0.629,10,0.2,0.556,0.572,3.2,2.1,0.6,0.6,0.2,0.5,5.3,3.8,5.8,4.9,110.5,104.0,2808600
132,142,Jaylen Nowell,Min,G,23.9,5,12.4,21.5,7.1,2,0.5,17,0.176,9,0.333,0.288,0.298,3.2,1.0,0.6,0.0,0.0,0.4,4.2,3.8,4.8,4.0,73.4,116.8,1930681
133,143,Payton Pritchard,Bos,G,25.4,10,5.7,23.3,18.3,5,0.8,12,0.667,10,0.4,0.636,0.661,3.2,0.6,1.1,0.1,0.0,0.5,3.8,4.3,4.9,9.0,120.3,111.2,2239200
134,144,Isaiah Hartenstein,Nyk,C-F,25.1,11,20.0,7.1,17.6,16,0.75,23,0.478,0,0.0,0.478,0.566,3.1,4.6,1.3,0.8,1.4,0.5,7.7,4.4,9.0,5.3,136.0,101.9,8854879
135,145,Malik Beasley,Lal,G,26.5,11,8.3,18.7,5.5,6,1.0,8,0.375,26,0.269,0.397,0.45,3.0,0.7,0.2,0.1,0.0,0.2,3.7,3.2,3.9,3.6,95.9,112.4,15558035
136,146,Day'Ron Sharpe,Bro,F,21.6,2,9.9,14.7,36.8,2,1.0,3,0.667,0,0.0,0.667,0.773,3.0,3.0,2.5,0.0,0.5,1.0,6.0,5.5,8.5,11.4,138.2,101.1,2109480
137,147,Cam Thomas,Bro,G,21.7,2,7.9,25.1,12.5,0,0.0,5,0.6,2,0.0,0.429,0.429,3.0,0.5,0.5,0.0,0.0,0.5,3.5,3.5,4.0,4.6,79.1,108.6,2138160
138,148,Yuta Watanabe,Bro,G-F,28.7,1,4.7,40.6,33.3,2,0.0,0,0.0,2,0.5,0.75,0.521,3.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,60.1,118.0,1968175
139,150,PJ Dozier,Sac,G-F,26.6,3,2.0,39.0,0.0,0,0.0,2,0.5,4,0.5,0.667,0.667,2.7,0.7,0.0,0.0,0.0,0.0,3.3,2.7,3.3,0.0,,,784654
140,151,Alex Len,Sac,C,30.0,7,7.8,13.6,42.8,6,0.833,9,0.778,0,0.0,0.778,0.816,2.7,2.9,0.1,0.0,0.4,1.0,5.6,2.9,5.7,4.7,112.9,88.9,3918600
141,153,MarJon Beauchamp,Mil,F,22.7,2,2.6,24.3,0.0,0,0.0,2,0.5,1,1.0,0.833,0.833,2.5,0.5,0.0,0.0,0.0,0.0,3.0,2.5,3.0,0.0,,,2485200
142,154,Austin Rivers,Min,G,30.9,4,11.6,9.0,11.1,0,0.0,2,1.0,6,0.333,0.625,0.625,2.5,1.3,0.3,0.3,0.0,0.3,3.8,2.8,4.0,3.4,115.4,118.1,2905851
143,155,Lamar Stevens,Cle,F,25.9,2,4.4,15.4,0.0,2,1.0,1,0.0,1,1.0,0.75,0.868,2.5,1.5,0.0,0.0,0.0,0.0,4.0,2.5,4.0,0.0,180.1,110.0,1782621
144,156,Jalen McDaniels,Phi,F-C,25.4,8,12.7,10.5,13.0,0,0.0,11,0.455,9,0.333,0.475,0.475,2.4,2.0,0.6,0.1,0.0,0.4,4.4,3.0,5.0,4.5,98.8,109.8,1930681
145,157,Jaden Springer,Phi,G,20.7,4,4.2,16.1,19.2,2,0.5,4,1.0,0,0.0,1.0,0.922,2.3,0.0,0.0,0.3,0.0,0.3,2.3,2.3,2.3,0.0,133.8,105.7,2125200
146,158,Cody Zeller,Mia,F-C,30.7,21,8.3,14.1,27.0,15,0.4,35,0.571,0,0.0,0.571,0.553,2.2,2.3,0.3,0.1,0.2,0.6,4.5,2.5,4.8,5.5,95.1,97.2,743922
147,159,Luke Kornet,Bos,F-C,27.9,8,4.0,12.4,0.0,2,1.0,7,0.857,1,1.0,0.938,0.957,2.1,1.3,0.0,0.0,0.1,0.0,3.4,2.1,3.4,0.0,203.9,110.0,2133278
148,160,Damion Lee,Pho,G-F,30.6,8,11.1,10.8,4.7,2,1.0,5,0.6,15,0.2,0.375,0.407,2.1,1.4,0.6,0.3,0.0,0.1,3.5,2.8,4.1,4.4,102.8,110.5,2133278
149,162,Sam Hauser,Bos,F,25.5,15,6.9,13.0,0.0,2,1.0,5,0.4,24,0.333,0.483,0.502,2.0,1.1,0.3,0.1,0.1,0.0,3.1,2.3,3.4,5.0,117.3,108.8,1637966
150,163,Goran Dragic,Mil,G,37.1,2,3.7,21.7,0.0,4,1.0,1,0.0,1,0.0,0.0,0.532,2.0,0.0,0.5,0.0,0.0,0.0,2.0,2.5,2.5,0.0,,,3523762
151,165,Jae Crowder,Mil,F,32.9,4,10.3,15.3,7.0,2,0.5,7,0.429,6,0.0,0.231,0.252,1.8,1.0,0.8,0.5,0.0,0.3,2.8,2.5,3.5,4.4,67.9,103.0,10183800
152,166,Joe Harris,Bro,G-F,31.8,4,10.9,19.0,18.2,2,1.0,1,1.0,12,0.083,0.192,0.252,1.8,1.3,0.0,0.5,0.0,0.8,3.0,1.8,3.0,0.0,44.1,105.8,18642857
153,168,Tristan Thompson,Lal,C-F,32.3,6,5.4,19.4,8.3,5,0.2,11,0.455,0,0.0,0.455,0.417,1.8,1.7,0.3,0.0,0.0,0.2,3.5,2.2,3.8,7.2,98.5,113.0,16700
154,169,Mike Muscala,Bos,F-C,32.0,6,3.5,14.4,18.8,4,0.75,0,0.0,4,0.5,0.75,0.781,1.5,0.7,0.2,0.0,0.0,0.2,2.2,1.7,2.3,6.8,,,3500000
155,170,Max Christie,Lal,G,20.3,9,3.7,15.6,0.0,4,0.5,6,0.667,4,0.25,0.55,0.553,1.4,0.8,0.3,0.0,0.1,0.0,2.2,1.8,2.6,7.5,,,1017781
156,171,Jevon Carter,Mil,G,27.7,4,12.3,7.7,0.0,0,0.0,2,0.5,7,0.143,0.278,0.278,1.3,1.0,1.0,0.3,0.0,0.0,2.3,2.3,3.3,3.5,85.0,115.4,6025000
157,172,DeAndre Jordan,Den,C,34.9,4,3.4,19.7,38.3,2,0.5,3,0.667,0,0.0,0.667,0.644,1.3,1.0,0.3,0.0,0.3,0.5,2.3,1.5,2.5,8.6,,,10733758
158,173,Shake Milton,Phi,G-F,26.7,6,3.5,15.2,15.5,2,1.0,4,0.75,1,0.0,0.6,0.68,1.3,0.5,0.3,0.3,0.0,0.2,1.8,1.7,2.2,6.6,,,1997718
159,174,Ziaire Williams,Mem,F,21.8,4,3.0,31.4,22.2,0,0.0,4,0.25,3,0.333,0.357,0.357,1.3,0.5,0.5,0.0,0.0,0.5,1.8,1.8,2.3,9.2,,,4591680
160,175,Shaquille Harrison,Lal,G,29.7,8,3.5,12.5,0.0,2,0.5,6,0.5,1,1.0,0.643,0.635,1.3,0.4,1.1,0.3,0.0,0.0,1.6,2.4,2.8,9.5,,,134862
161,176,Wenyen Gabriel,Lal,F,26.2,10,3.7,15.8,16.3,3,0.667,10,0.4,0,0.0,0.4,0.442,1.0,0.9,0.0,0.2,0.3,0.2,1.9,1.0,1.9,0.0,,,1878720
162,177,Nathan Knight,Min,F-C,25.7,2,2.4,49.2,20.0,0,0.0,2,0.5,2,0.0,0.25,0.25,1.0,0.5,0.0,0.0,0.0,0.5,1.5,1.0,1.5,0.0,,,1836090
163,178,Zeke Nnaji,Den,F-C,22.4,5,2.4,18.5,20.0,0,0.0,1,1.0,3,0.333,0.625,0.625,1.0,0.4,0.0,0.2,0.0,0.2,1.4,1.0,1.4,0.0,,,2617800
164,179,Dean Wade,Cle,F-C,26.6,2,5.6,8.0,0.0,2,1.0,0,0.0,1,0.0,0.0,0.532,1.0,1.5,0.0,0.0,0.0,0.0,2.5,1.0,2.5,0.0,124.7,112.2,1930681
165,180,Peyton Watson,Den,G,20.8,5,2.7,19.8,16.7,0,0.0,3,0.333,2,0.5,0.5,0.5,1.0,0.8,0.2,0.0,0.2,0.2,1.8,1.2,2.0,8.0,,,2193960
166,181,Danny Green,Cle,G,36.0,4,9.9,8.3,28.6,0,0.0,1,0.0,4,0.25,0.3,0.3,0.8,1.8,0.3,0.5,0.3,0.5,2.5,1.0,2.8,3.1,69.5,93.2,11710528
167,182,John Konchar,Mem,G,27.2,5,9.7,8.6,10.0,0,0.0,5,0.4,4,0.0,0.222,0.222,0.8,2.0,0.8,0.4,0.4,0.2,2.8,1.6,3.6,4.5,85.5,102.1,2300000
168,183,Anthony Lamb,Gol,F,25.4,6,5.3,9.1,28.6,0,0.0,1,1.0,4,0.25,0.5,0.5,0.8,1.0,0.0,0.2,0.2,0.3,1.8,0.8,1.8,0.0,74.8,107.5,694878
169,184,Furkan Korkmaz,Phi,G-F,25.9,3,3.8,15.9,29.1,2,1.0,1,0.0,1,0.0,0.0,0.347,0.7,0.3,0.3,0.0,0.0,0.3,1.0,1.0,1.3,4.2,,,5000000
170,185,Chimezie Metu,Sac,F-C,26.2,3,2.0,21.6,43.6,3,0.667,1,0.0,0,0.0,0.0,0.431,0.7,0.3,0.0,0.0,0.0,0.3,1.0,0.7,1.0,0.0,,,1910860
171,186,Reggie Jackson,Den,G,33.2,6,3.0,7.5,33.3,0,0.0,0,0.0,2,0.5,0.75,0.75,0.5,0.3,0.3,0.2,0.0,0.2,0.8,0.8,1.2,4.7,,,11457217
172,187,Raul Neto,Cle,G,31.1,2,3.5,26.4,62.1,2,0.5,0,0.0,1,0.0,0.0,0.266,0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.0,,,2463490
173,190,Omer Yurtseven,Mia,C,25.0,8,2.0,23.0,12.5,0,0.0,5,0.4,2,0.0,0.286,0.286,0.5,0.6,0.1,0.0,0.1,0.1,1.1,0.6,1.3,6.2,,,1752638
174,191,Justin Champagnie,Bos,G-F,22.0,4,2.6,17.2,0.0,0,0.0,1,1.0,3,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,,,853241
175,192,Miles McBride,Nyk,G,22.8,8,2.6,8.8,0.0,0,0.0,1,0.0,3,0.333,0.375,0.375,0.4,0.3,0.1,0.0,0.1,0.0,0.6,0.5,0.8,3.5,,,1563518
176,193,Nikola Jovic,Mia,F,20.0,7,1.8,14.3,0.0,0,0.0,2,0.5,2,0.0,0.25,0.25,0.3,0.7,0.0,0.0,0.0,0.0,1.0,0.3,1.0,0.0,,,2239920
177,194,Thanasis Antetokounmpo,Mil,F,30.9,2,2.6,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1878720
178,196,Mo Bamba,Lal,C,25.1,3,3.4,8.6,0.0,0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.3,0.0,1.0,0.3,1.3,0.0,,,10300000
179,198,Thomas Bryant,Den,C-F,25.9,1,0.5,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1968175
180,199,Vlatko Cancar,Den,F,26.2,5,2.0,22.3,0.0,0,0.0,1,0.0,4,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.6,0.2,0.8,0.0,,,2234359
181,200,Amir Coffey,Lac,G-F,26.0,1,1.0,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3395062
182,201,Robert Covington,Lac,F,32.5,2,6.0,10.5,0.0,0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,2.0,0.0,42.7,101.1,12307692
183,202,Kessler Edwards,Sac,F,22.8,6,1.2,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,,,1637966
184,203,Blake Griffin,Bos,F,34.2,1,5.9,7.7,0.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,74.4,79.0,2905851
185,204,Montrezl Harrell,Phi,F-C,29.4,2,3.5,19.8,0.0,0,0.0,3,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,,,2463490
186,205,Udonis Haslem,Mia,F,43.0,2,1.5,45.1,0.0,0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,,,2905851
187,206,Aaron Holiday,Atl,G,26.7,1,3.9,10.6,100.0,0,0.0,0,0.0,0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,1968175
188,207,Meyers Leonard,Mil,F-C,31.3,2,2.6,8.1,0.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,,,713558
189,208,Jordan McLaughlin,Min,G,27.2,2,7.1,13.1,0.0,0,0.0,2,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,33.0,104.4,2160000
190,210,Josh Minott,Min,F,20.5,1,6.3,14.7,50.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,88.3,1017781
191,212,Jason Preston,Lac,G,23.8,1,1.0,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1563518
192,213,Derrick Rose,Nyk,G,34.7,1,2.5,71.4,0.0,0,0.0,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,14520730
193,214,Ricky Rubio,Cle,G,32.6,3,5.7,16.6,83.3,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.0,1.7,2.0,1.0,3.0,0.0,46.2,76.1,5853659
194,215,Edmond Sumner,Bro,G,27.5,1,4.5,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,125.1,1968175
195,216,Dewayne Dedmon,Phi,C,33.8,1,5.0,18.5,50.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,94.9,8283688
196,217,DaQuan Jeffries,Nyk,G-F,25.8,2,2.3,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,799403
